ide,Name
1,Abraham Baldwin Agricultural College
2,Adams State University
3,Alabama A & M University
4,Alabama State University
5,Albany State University
6,Alcorn State University
7,American Samoa Community College
8,Angelo State University
9,Appalachian State University
10,Arizona State University-Downtown Phoenix
11,Arizona State University-Polytechnic
12,Arizona State University-Skysong
13,Arizona State University-Tempe
14,Arizona State University-West
15,Arkansas State University-Main Campus
16,Arkansas Tech University
17,Armstrong State University
18,Athens State University
19,Atlanta Metropolitan State College
20,Auburn University
21,Auburn University at Montgomery
22,Austin Peay State University
23,Ball State University
24,Bellevue College
25,Bemidji State University
26,Bismarck State College
27,Black Hills State University
28,Bloomsburg University of Pennsylvania
29,Bluefield State College
30,Boise State University
31,Bowie State University
32,Bowling Green State University-Main Campus
33,Brazosport College
34,Bridgewater State University
35,Broward College
36,California Polytechnic State University-San Luis Obispo
37,California State Polytechnic University-Pomona
38,California State University-Bakersfield
39,California State University-Channel Islands
40,California State University-Chico
41,California State University-Dominguez Hills
42,California State University-East Bay
43,California State University-Fresno
44,California State University-Fullerton
45,California State University-Long Beach
46,California State University-Los Angeles
47,California State University-Monterey Bay
48,California State University-Northridge
49,California State University-Sacramento
50,California State University-San Bernardino
51,California State University-San Marcos
52,California State University-Stanislaus
53,California University of Pennsylvania
54,Cameron University
55,Castleton University
56,Central Connecticut State University
57,Central Michigan University
58,Central State University
59,Central Washington University
60,Centralia College
61,Chadron State College
62,Charter Oak State College
63,Cheyney University of Pennsylvania
64,Chicago State University
65,Chipola College
66,Christopher Newport University
67,Citadel Military College of South Carolina
68,Clarion University of Pennsylvania
69,Clayton  State University
70,Clemson University
71,Cleveland State University
72,Coastal Carolina University
73,Colegio Universitario de San Juan
74,College of Central Florida
75,College of Charleston
76,College of Coastal Georgia
77,College of Southern Nevada
78,College of Staten Island CUNY
79,College of William and Mary
80,Colorado Mesa University
81,Colorado Mountain College
82,Colorado School of Mines
83,Colorado State University-Fort Collins
84,Colorado State University-Global Campus
85,Colorado State University-Pueblo
86,Columbia Basin College
87,Columbus State University
88,Concord University
89,Coppin State University
90,CUNY Bernard M Baruch College
91,CUNY Brooklyn College
92,CUNY City College
93,CUNY Graduate School and University Center
94,CUNY Hunter College
95,CUNY John Jay College of Criminal Justice
96,CUNY Lehman College
97,CUNY Medgar Evers College
98,CUNY New York City College of Technology
99,CUNY Queens College
100,CUNY York College
101,Dakota State University
102,Dalton State College
103,Darton State College
104,Daytona State College
105,Delaware State University
106,Delta State University
107,Dickinson State University
108,Dine College
109,Dixie State University
110,East Carolina University
111,East Central University
112,East Georgia State College
113,East Stroudsburg University of Pennsylvania
114,East Tennessee State University
115,Eastern Connecticut State University
116,Eastern Florida State College
117,Eastern Illinois University
118,Eastern Kentucky University
119,Eastern Michigan University
120,Eastern New Mexico University-Main Campus
121,Eastern Oregon University
122,Eastern Washington University
123,Edinboro University of Pennsylvania
124,Elizabeth City State University
125,Emporia State University
126,Escuela de Artes Plasticas de Puerto Rico
127,Fairmont State University
128,Farmingdale State College
129,Fashion Institute of Technology
130,Fayetteville State University
131,Ferris State University
132,Fitchburg State University
133,Florida Agricultural and Mechanical University
134,Florida Atlantic University
135,Florida Gateway College
136,Florida Gulf Coast University
137,Florida International University
138,Florida Polytechnic University
139,Florida SouthWestern State College
140,Florida State College at Jacksonville
141,Florida State University
142,Fort Hays State University
143,Fort Lewis College
144,Fort Valley State University
145,Framingham State University
146,Francis Marion University
147,Frostburg State University
148,George Mason University
149,Georgia College and State University
150,Georgia Gwinnett College
151,Georgia Institute of Technology-Main Campus
152,Georgia Regents University
153,Georgia Southern University
154,Georgia Southwestern State University
155,Georgia State University
156,Glenville State College
157,Gordon State College
158,Governors State University
159,Grambling State University
160,Grand Valley State University
161,Granite State College
162,Great Basin College
163,Gulf Coast State College
164,Harris-Stowe State University
165,Haskell Indian Nations University
166,Henderson State University
167,Humboldt State University
168,Idaho State University
169,Illinois State University
170,Indian River State College
171,Indiana State University
172,Indiana University of Pennsylvania-Main Campus
173,Indiana University-Bloomington
174,Indiana University-East
175,Indiana University-Kokomo
176,Indiana University-Northwest
